Creating the sequence of SKUs to be picked based on fixed number of SKUs per trip...
(3, 1, 1244, None)
(3, 1, 1587, None)
(3, 1, 1740, None)
(3, 1, 1999, None)
(3, 1, 4020, None)
(3, 2, 285, None)
(3, 2, 981, None)
(3, 2, 2400, None)
(3, 2, 3261, None)
(3, 2, 4013, None)
(3, 3, 870, None)
(3, 3, 921, None)
(3, 3, 2665, None)
(3, 3, 4113, None)
(3, 3, 4493, None)
(3, 4, 1249, None)
(3, 4, 3648, None)
(3, 4, 3723, None)
(3, 4, 3801, None)
(3, 4, 4347, None)
(3, 5, 294, None)
(3, 5, 2725, None)
(3, 5, 3191, None)
(3, 5, 3513, None)
(3, 5, 4992, None)
(3, 6, 752, None)
(3, 6, 2039, None)
(3, 6, 2702, None)
(3, 6, 2902, None)
(3, 6, 3770, None)
(3, 7, 1323, None)
(3, 7, 1579, None)
(3, 7, 2592, None)
(3, 7, 3089, None)
(3, 7, 4854, None)
(3, 8, 401, None)
(3, 8, 1038, None)
(3, 8, 1301, None)
(3, 8, 1313, None)
(3, 8, 3921, None)
(3, 9, 390, None)
(3, 9, 1476, None)
(3, 9, 2847, None)
(3, 9, 3148, None)
(3, 9, 4995, None)
(3, 10, 1057, None)
(3, 10, 1518, None)
(3, 10, 2304, None)
(3, 10, 4266, None)
(3, 10, 4695, None)
(3, 11, 361, None)
(3, 11, 1021, None)
(3, 11, 1972, None)
(3, 11, 4230, None)
(3, 11, 4656, None)
(3, 12, 2173, None)
(3, 12, 3463, None)
(3, 12, 3620, None)
(3, 12, 4207, None)
(3, 12, 4604, None)
(3, 13, 587, None)
(3, 13, 629, None)
(3, 13, 859, None)
(3, 13, 893, None)
(3, 13, 2909, None)
(3, 14, 1441, None)
(3, 14, 3613, None)
(3, 14, 3760, None)
(3, 14, 3813, None)
(3, 14, 4608, None)
(3, 15, 2021, None)
(3, 15, 2757, None)
(3, 15, 3311, None)
(3, 15, 4036, None)
(3, 15, 4833, None)
(3, 16, 774, None)
(3, 16, 1122, None)
(3, 16, 1344, None)
(3, 16, 1688, None)
(3, 16, 3418, None)
(3, 17, 947, None)
(3, 17, 1898, None)
(3, 17, 3525, None)
(3, 17, 4159, None)
(3, 17, 4368, None)
(3, 18, 860, None)
(3, 18, 1899, None)
(3, 18, 3105, None)
(3, 18, 3679, None)
(3, 18, 4844, None)
(3, 19, 114, None)
(3, 19, 1525, None)
(3, 19, 2727, None)
(3, 19, 3604, None)
(3, 19, 4179, None)
(3, 20, 55, None)
(3, 20, 816, None)
(3, 20, 3091, None)
(3, 20, 3278, None)
(3, 20, 4786, None)
(3, 21, 651, None)
(3, 21, 766, None)
(3, 21, 1354, None)
(3, 21, 2947, None)
(3, 21, 4603, None)
(3, 22, 1121, None)
(3, 22, 1787, None)
(3, 22, 2537, None)
(3, 22, 3591, None)
(3, 22, 4264, None)
(3, 23, 521, None)
(3, 23, 2528, None)
(3, 23, 3182, None)
(3, 23, 3382, None)
(3, 23, 4070, None)
(3, 24, 1449, None)
